car_name;reviews_count;fuel_type;engine_displacement;no_cylinder;seating_capacity;transmission_type;fuel_tank_capacity;body_type;rating;starting_price;ending_price;max_torque_nm;max_torque_rpm;max_power_bhp;max_power_rp;churn
Bajaj Qute (RE60);43;CNG;216;1;4;Manual;35;Hatchback;4;361000;361,000;16.1;4000;10.8;5500;True
Porsche Cayenne Coupe;6;Petrol;3996;8;4;Automatic;0;SUV;3.5;391000;397,000;850;4500;631.62;6000;False
Maruti Alto 800 tour;4;Petrol;796;3;5;Manual;35;Hatchback;4.5;391000;397,000;69;3500;47.33;6000;True
Ferrari SF90 Stradale;8;Petrol;3990;8;2;Automatic;68;Coupe;4.5;450000;450,000;800;6000;769.31;7500;True
Datsun redi-GO;67;Petrol;999;3;5;Automatic;28;Hatchback;3.5;398000;496,000;91;4250;67.05;5550;False
Maruti Alto 800;437;CNG;796;3;5;Manual;60;Hatchback;4.5;339000;503,000;60;3500;40.36;6000;True
Maruti Alto K10;51;Petrol;998;3;5;Automatic;27;Hatchback;4.5;399000;583,000;89;3500;65.71;5500;True
Maruti Celerio;89;Petrol;998;3;5;Automatic;32;Hatchback;3.5;525000;700,000;89;3500;65.71;5500;False
Maruti Eeco;264;Petrol;1196;4;7;Manual;65;Minivan;4.5;463000;594,000;85;3000;61.68;6000;True
Renault KWID;545;Petrol;999;3;5;Automatic;28;Hatchback;4.5;464000;599,000;91;4250;67.06;5500;True
Maruti S-Presso;301;Petrol;998;3;5;Automatic;27;Hatchback;4.5;425000;599,000;89;3500;65.71;5500;True
Hyundai Santro;532;CNG;1086;4;5;Manual;60;Hatchback;4.5;490000;642,000;85.3;4501;59.17;5500;True
Datsun GO;312;Petrol;1198;3;5;Automatic;35;Hatchback;4.5;403000;651,000;104;4400;76.43;6000;True
Hyundai i20;432;Petrol;998;3;5;Automatic;37;Hatchback;3.5;703000;1,154,000;171.62;4000;118.36;6000;False
Datsun GO Plus;307;Petrol;1198;3;7;Automatic;35;MUV;4.5;426000;700,000;104;4400;76.43;6000;True
Aston Martin Vantage;3;Petrol;3998;8;2;Manual;73;Convertible;3.5;9950000;9,950,000;675;5000;502.88;6000;False
Tata Tiago NRG;12;Petrol;1199;3;5;Automatic;35;Hatchback;4.5;642000;738,000;113;3300;84.48;6000;True
Tata Yodha Pickup;4;Diesel;2956;4;4;Manual;45;Pickup Truck;4.5;695000;750,000;250;2000;85;3000;True
Maruti Ignis;461;Petrol;1197;4;5;Automatic;32;Hatchback;4.5;535000;772,000;113;4200;81.8;6000;True
Tata Tiago;435;CNG;1199;3;5;Manual;60;Hatchback;4.5;540000;782,000;95;3500;72;6000;True
Mahindra KUV 100 NXT;226;Petrol;1198;3;6;Manual;35;Hatchback;4.5;618000;784,000;115;3600;82;5500;True
Citroen C3;57;Petrol;1199;3;5;Manual;30;Hatchback;4.5;571000;806,000;190;1750;108.62;5500;True
Renault Triber;774;Petrol;999;3;7;Automatic;40;MUV;4.5;592000;851,000;96;3500;71;6250;True
Tata Tigor;136;CNG;1199;3;5;Manual;60;Sedan;4.5;600000;859,000;95;3500;72.4;6000;True
Maruti Swift;205;Petrol;1197;4;5;Automatic;37;Hatchback;4;592000;885,000;113;4400;88.5;6000;True
Hyundai Aura;261;Petrol;998;3;5;Manual;37;Sedan;4.5;609000;887,000;172;4000;98.63;6000;True
Mercedes-Benz CLS;60;Diesel;1950;4;5;Automatic;66;Coupe;4.5;885000;912,000;500;2400;241.3;4200;True
Maruti Dzire;245;Petrol;1197;4;5;Automatic;37;Sedan;4.5;624000;918,000;113;4400;88.5;6000;True
Mahindra E Verito;14;Electric;0;0;5;Electric;0;Sedan;4;913000;946,000;91;3000;41.57;3500;True
Tata Punch;381;Petrol;1199;3;5;Automatic;37;SUV;4.5;593000;949,000;113;3400;84.48;6000;True
Maruti Baleno;137;Petrol;1197;4;5;Automatic;37;Hatchback;4.5;649000;971,000;113;4400;88.5;6000;True
Mercedes-Benz AMG GLC 43;9;Petrol;2996;6;5;Automatic;0;SUV;4.5;927000;976,000;520;5000;384.87;6100;True
Mercedes-Benz AMG A 45 S;35;Petrol;1991;4;5;Automatic;0;Hatchback;4.5;659000;999,000;500;5250;415.71;6750;True
Honda City 4th Generation;1067;Petrol;1497;4;5;Manual;40;Sedan;4.5;950000;1,000,000;145;4600;117.6;6600;True
Tata Altroz;1025;Diesel;1497;4;5;Manual;37;Hatchback;4.5;630000;1,025,000;200;3000;88.77;4000;True
Mahindra Bolero;107;Diesel;1498;3;7;Manual;60;SUV;4.5;933000;1,026,000;210;2200;74.96;3600;True
Honda Jazz;41;Petrol;1199;4;5;Automatic;40;Hatchback;4.5;801000;1,032,000;110;4800;88.5;6000;True
BMW 3 Series Gran Limousine;3;Petrol;1998;4;5;Automatic;59;Sedan;4.5;1041000;1,041,000;400;4400;254.79;5000;True
Renault Kiger;228;Petrol;999;3;5;Automatic;40;SUV;4.5;599000;1,062,000;152;4400;98.63;5000;True
Nissan Magnite;278;Petrol;999;3;5;Automatic;40;SUV;4.5;597000;1,079,000;152;4400;98.63;5000;True
Honda Amaze;85;Diesel;1498;4;5;Automatic;35;Sedan;4.5;663000;1,150,000;160;1750;79.12;3600;True
Ferrari F8 Tributo;6;Petrol;3902;8;2;Automatic;78;Coupe;3.5;8580000;12,500,000;770;3250;710.74;8000;False
Mahindra Bolero Neo;97;Diesel;1493;3;7;Manual;50;SUV;4.5;903000;1,173,000;260;2250;100;3750;True
Maruti Ciaz;666;Petrol;1462;4;5;Automatic;43;Sedan;4.5;899000;1,198,000;138;4400;103.25;6000;True
Honda WR-V;81;Diesel;1498;4;5;Manual;40;SUV;4.5;911000;1,231,000;200;1750;97.89;3600;True
Hyundai Venue;36;Petrol;998;3;5;Automatic;45;SUV;4.5;753000;1,272,000;172;4000;118.41;6000;True
Maruti Ertiga;110;Petrol;1462;4;7;Automatic;45;MUV;4.5;835000;1,279,000;136.8;4400;101.65;6000;True
Maruti S-Cross;77;Petrol;1462;4;5;Automatic;48;SUV;4.5;895000;1,292,000;138;4400;103.25;6000;True
Kia Sonet;523;Diesel;1493;4;5;Automatic;45;SUV;4;749000;1,379,000;250;2750;113.43;4000;True
Maruti Brezza;86;Petrol;1462;4;5;Automatic;48;SUV;4.5;799000;1,396,000;136.8;4400;101.65;6000;True
Mahindra XUV300;2245;Diesel;1497;4;5;Automatic;42;SUV;4.5;841000;1,407,000;300;2500;115;3750;True
Tata Nexon;568;Diesel;1497;4;5;Automatic;44;SUV;4.5;760000;1,408,000;260;2750;108.49;4000;True
Volkswagen Vento;94;Petrol;999;3;5;Automatic;55;Sedan;4.5;1000000;1,444,000;175;4000;108.62;5500;True
Force Gurkha;28;Diesel;2596;4;4;Manual;63;SUV;4.5;1449000;1,449,000;250;2400;89.84;3200;True
Maruti XL6;58;Petrol;1462;4;6;Automatic;45;MUV;4.5;1129000;1,455,000;136.8;4400;101.65;6000;True
Nissan Kicks;257;Petrol;1330;4;5;Automatic;50;SUV;4.5;950000;1,490,000;254;1600;153.87;5500;True
Mahindra Marazzo;321;Diesel;1497;4;8;Manual;45;MUV;4.5;1317000;1,544,000;300;2500;120.96;3500;True
Hyundai Verna;234;Diesel;1493;4;5;Automatic;45;Sedan;4.5;941000;1,545,000;250;2750;113.45;4000;True
